iter	Passed	Remaining
0	41	75006
1	52	47615
2	68	40965
3	79	35882
4	88	31987
5	98	29683
6	109	28065
7	119	26920
8	129	25874
9	139	25174
10	149	24496
11	159	23947
12	169	23480
13	181	23247
14	190	22824
15	200	22486
16	210	22226
17	220	21985
18	230	21716
19	240	21544
20	251	21394
21	260	21135
22	270	21025
23	280	20869
24	292	20837
25	305	20974
26	320	21177
27	331	21105
28	343	21100
29	354	21015
30	364	20912
31	374	20790
32	384	20674
33	394	20576
34	403	20474
35	413	20387
36	424	20318
37	435	20295
38	445	20235
39	457	20238
40	470	20283
41	483	20350
42	494	20310
43	504	20223
44	513	20148
45	525	20123
46	535	20078
47	546	20047
48	558	20052
49	571	20092
50	582	20090
51	593	20066
52	603	19985
53	614	19983
54	626	19984
55	638	19997
56	649	19962
57	661	19959
58	671	19924
59	681	19863
60	691	19816
61	703	19811
62	713	19761
63	720	19649
64	728	19550
65	736	19444
66	746	19411
67	758	19431
68	769	19402
69	782	19439
70	793	19423
71	804	19418
72	815	19398
73	826	19387
74	837	19369
75	848	19346
76	858	19318
77	868	19284
78	879	19258
79	889	19231
80	899	19199
81	911	19187
82	922	19181
83	933	19166
84	944	19160
85	955	19149
86	966	19123
87	976	19091
88	986	19061
89	996	19036
90	1007	19019
91	1018	19014
92	1029	18990
93	1040	18975
94	1050	18960
95	1061	18937
96	1071	18903
97	1086	18970
98	1097	18950
99	1107	18929
100	1117	18895
101	1128	18891
102	1139	18877
103	1150	18867
104	1162	18861
105	1174	18871
106	1185	18856
107	1196	18847
108	1207	18828
109	1217	18807
110	1228	18791
111	1239	18773
112	1259	18902
113	1269	18873
114	1279	18854
115	1291	18843
116	1301	18825
117	1312	18808
118	1323	18792
119	1334	18784
120	1346	18778
121	1358	18778
122	1369	18766
123	1381	18768
124	1392	18760
125	1403	18744
126	1414	18735
127	1425	18718
128	1434	18685
129	1445	18669
130	1457	18666
131	1468	18656
132	1484	18707
133	1494	18681
134	1504	18658
135	1516	18653
136	1526	18631
137	1537	18617
138	1548	18608
139	1563	18634
140	1574	18629
141	1585	18607
142	1596	18602
143	1607	18590
144	1619	18582
145	1630	18573
146	1642	18565
147	1653	18553
148	1666	18569
149	1680	18590
150	1693	18592
151	1705	18589
152	1717	18587
153	1731	18607
154	1743	18605
155	1755	18599
156	1768	18606
157	1779	18592
158	1790	18585
159	1806	18613
160	1814	18577
161	1824	18550
162	1835	18532
163	1845	18508
164	1853	18471
165	1865	18464
166	1875	18444
167	1887	18432
168	1897	18409
169	1906	18384
170	1914	18340
171	1922	18301
172	1932	18276
173	1943	18266
174	1954	18251
175	1965	18239
176	1975	18217
177	1985	18192
178	1994	18162
179	2003	18135
180	2013	18108
181	2021	18074
182	2030	18040
183	2039	18008
184	2048	17986
185	2059	17967
186	2068	17943
187	2078	17924
188	2089	17911
189	2099	17885
190	2109	17871
191	2118	17843
192	2127	17815
193	2137	17791
194	2145	17760
195	2155	17740
196	2165	17719
197	2174	17695
198	2185	17685
199	2195	17663
200	2204	17636
201	2214	17617
202	2225	17604
203	2235	17590
204	2244	17560
205	2252	17528
206	2261	17499
207	2270	17476
208	2281	17466
209	2290	17441
210	2300	17419
211	2308	17391
212	2316	17356
213	2324	17327
214	2333	17299
215	2343	17283
216	2353	17265
217	2362	17242
218	2372	17222
219	2381	17203
220	2391	17186
221	2401	17170
222	2411	17152
223	2420	17129
224	2431	17114
225	2440	17096
226	2450	17077
227	2459	17057
228	2469	17041
229	2481	17034
230	2490	17013
231	2501	17001
232	2512	16992
233	2523	16982
234	2533	16969
235	2543	16954
236	2554	16943
237	2564	16929
238	2578	16938
239	2589	16928
240	2600	16916
241	2610	16904
242	2622	16898
243	2632	16887
244	2643	16874
245	2653	16862
246	2664	16847
247	2675	16840
248	2684	16815
249	2694	16803
250	2705	16795
251	2717	16791
252	2730	16795
253	2742	16791
254	2758	16808
255	2772	16816
256	2786	16827
257	2798	16822
258	2812	16831
259	2823	16818
260	2834	16811
261	2845	16803
262	2862	16828
263	2871	16806
264	2882	16793
265	2893	16784
266	2903	16767
267	2915	16766
268	2926	16756
269	2937	16742
270	2948	16734
271	2961	16737
272	2973	16728
273	2983	16716
274	2994	16701
275	3005	16695
276	3016	16682
277	3027	16671
278	3037	16659
279	3047	16641
280	3058	16630
281	3069	16622
282	3080	16608
283	3091	16602
284	3102	16588
285	3112	16575
286	3123	16565
287	3134	16552
288	3145	16543
289	3155	16525
290	3164	16508
291	3174	16494
292	3185	16482
293	3195	16465
294	3206	16454
295	3216	16440
296	3228	16434
297	3238	16421
298	3249	16411
299	3265	16424
300	3278	16426
301	3288	16410
302	3298	16395
303	3309	16382
304	3319	16366
305	3330	16359
306	3343	16355
307	3354	16346
308	3366	16343
309	3378	16335
310	3388	16319
311	3398	16308
312	3409	16296
313	3421	16289
314	3431	16275
315	3441	16261
316	3452	16251
317	3464	16242
318	3475	16232
319	3485	16219
320	3496	16210
321	3511	16217
322	3521	16200
323	3529	16175
324	3538	16156
325	3552	16161
326	3568	16172
327	3583	16178
328	3596	16177
329	3610	16181
330	3622	16176
331	3633	16166
332	3645	16158
333	3656	16147
334	3674	16165
335	3683	16150
336	3695	16140
337	3707	16136
338	3719	16126
339	3729	16115
340	3741	16106
341	3754	16103
342	3764	16090
343	3774	16073
344	3782	16052
345	3791	16031
346	3801	16017
347	3812	16006
348	3822	15991
349	3834	15982
350	3845	15973
351	3857	15966
352	3869	15959
353	3880	15948
354	3889	15928
355	3898	15910
356	3908	15895
357	3918	15880
358	3927	15862
359	3938	15850
360	3949	15840
361	3959	15828
362	3970	15817
363	3979	15797
364	3988	15777
365	3996	15758
366	4005	15739
367	4014	15721
368	4023	15703
369	4034	15689
370	4043	15672
371	4052	15654
372	4062	15639
373	4072	15626
374	4081	15609
375	4091	15595
376	4102	15584
377	4112	15567
378	4122	15555
379	4130	15533
380	4139	15513
381	4147	15494
382	4158	15481
383	4168	15469
384	4178	15456
385	4190	15448
386	4200	15434
387	4212	15427
388	4227	15432
389	4239	15425
390	4250	15413
391	4259	15396
392	4270	15385
393	4281	15377
394	4294	15374
395	4305	15363
396	4316	15352
397	4328	15344
398	4342	15344
399	4353	15336
400	4365	15329
401	4376	15316
402	4386	15303
403	4397	15293
404	4407	15279
405	4417	15264
406	4432	15268
407	4443	15256
408	4453	15245
409	4464	15232
410	4473	15218
411	4484	15206
412	4496	15197
413	4509	15194
414	4521	15186
415	4532	15176
416	4542	15162
417	4554	15156
418	4567	15152
419	4582	15156
420	4595	15151
421	4608	15147
422	4620	15140
423	4632	15131
424	4645	15127
425	4657	15119
426	4667	15106
427	4678	15094
428	4690	15088
429	4703	15085
430	4714	15074
431	4726	15064
432	4736	15051
433	4746	15039
434	4757	15028
435	4768	15016
436	4778	15003
437	4787	14986
438	4798	14975
439	4808	14962
440	4820	14953
441	4831	14942
442	4846	14944
443	4857	14933
444	4868	14923
445	4880	14914
446	4890	14900
447	4900	14886
448	4909	14871
449	4935	14904
450	4949	14902
451	4960	14893
452	4972	14885
453	4985	14880
454	4997	14871
455	5007	14858
456	5020	14851
457	5033	14848
458	5046	14842
459	5057	14831
460	5069	14822
461	5081	14815
462	5093	14806
463	5102	14791
464	5113	14778
465	5124	14769
466	5135	14757
467	5145	14744
468	5157	14736
469	5168	14725
470	5180	14716
471	5193	14711
472	5205	14702
473	5217	14694
474	5230	14688
475	5242	14681
476	5256	14679
477	5275	14689
478	5287	14682
479	5299	14673
480	5313	14671
481	5326	14665
482	5338	14655
483	5349	14643
484	5359	14629
485	5370	14620
486	5381	14609
487	5392	14597
488	5402	14583
489	5413	14572
490	5424	14561
491	5435	14549
492	5446	14537
493	5455	14522
494	5464	14507
495	5474	14492
496	5485	14479
497	5496	14468
498	5507	14458
499	5517	14445
500	5529	14435
501	5538	14420
502	5548	14406
503	5557	14390
504	5568	14379
505	5580	14369
506	5589	14353
507	5600	14341
508	5609	14327
509	5619	14314
510	5630	14301
511	5644	14298
512	5654	14285
513	5664	14271
514	5674	14256
515	5682	14240
516	5692	14224
517	5703	14213
518	5712	14199
519	5724	14190
520	5735	14179
521	5746	14167
522	5755	14151
523	5765	14137
524	5774	14123
525	5784	14110
526	5794	14095
527	5804	14083
528	5814	14069
529	5824	14055
530	5833	14040
531	5843	14026
532	5852	14011
533	5862	13997
534	5871	13981
535	5881	13967
536	5890	13952
537	5900	13938
538	5908	13922
539	5919	13910
540	5930	13900
541	5942	13892
542	5954	13883
543	5965	13872
544	5975	13859
545	5986	13848
546	5998	13838
547	6009	13827
548	6019	13815
549	6030	13804
550	6040	13791
551	6050	13778
552	6060	13765
553	6071	13754
554	6081	13740
